tool	instance	measure	value	seconds	status
balancedgo	berge_path	hw_detk_exact	1	0.02	[exit 0]
balancedgo	berge_path	hw_detk_exact_pace	1	0.01	[exit 0]
logk	berge_path	hw_exact	1	0.02	[exit 0]
balancedgo	berge_path	ghw_global_k1	1	0.01	[exit 0]
ndk	berge_path	hw_detk_k1	yes	0.01	[exit 0]
ndk	berge_path	ghw_balsep_k1	yes	0.01	[exit 0]
ndk	berge_path	stats	?	0.01	[exit 0]
detk1	berge_path	hw_k3	yes	0.01	[exit 0]
htd	berge_path	tw	1	0.01	[exit 0]
htd	berge_path	ghw_ub	1	0.01	[exit 0]
htdleo	berge_path	hw	1	0.30	[exit 0]
htdleo	berge_path	ghw	1	0.25	[exit 0]
htdsmt	berge_path	hw	1	0.26	[exit 0]
frasmt	berge_path	fhw	1	0.27	[exit 0]
balancedgo	b_triangle	hw_detk_exact	2	0.01	[exit 0]
balancedgo	b_triangle	hw_detk_exact_pace	2	0.01	[exit 0]
logk	b_triangle	hw_exact	2	0.01	[exit 0]
balancedgo	b_triangle	ghw_global_k1	no	0.01	[exit 0]
balancedgo	b_triangle	ghw_global_k2	2	0.01	[exit 0]
ndk	b_triangle	hw_detk_k1	no	0.01	[exit 0]
ndk	b_triangle	hw_detk_k2	yes	0.01	[exit 0]
ndk	b_triangle	ghw_balsep_k1	no	0.01	[exit 0]
ndk	b_triangle	ghw_balsep_k2	yes	0.01	[exit 0]
ndk	b_triangle	stats	?	0.01	[exit 0]
detk1	b_triangle	hw_k3	yes	0.01	[exit 0]
htd	b_triangle	tw	2	0.01	[exit 0]
htd	b_triangle	ghw_ub	2	0.01	[exit 0]
htdleo	b_triangle	hw	2	0.24	[exit 0]
htdleo	b_triangle	ghw	2	0.25	[exit 0]
htdsmt	b_triangle	hw	2	0.22	[exit 0]
frasmt	b_triangle	fhw	1.5	0.29	[exit 0]
balancedgo	a_triangle_cover	hw_detk_exact	1	0.01	[exit 0]
balancedgo	a_triangle_cover	hw_detk_exact_pace	1	0.01	[exit 0]
logk	a_triangle_cover	hw_exact	1	0.01	[exit 0]
balancedgo	a_triangle_cover	ghw_global_k1	1	0.01	[exit 0]
ndk	a_triangle_cover	hw_detk_k1	yes	0.01	[exit 0]
ndk	a_triangle_cover	ghw_balsep_k1	yes	0.01	[exit 0]
ndk	a_triangle_cover	stats	?	0.01	[exit 0]
detk1	a_triangle_cover	hw_k3	yes	0.01	[exit 0]
htd	a_triangle_cover	tw	2	0.01	[exit 0]
htd	a_triangle_cover	ghw_ub	1	0.01	[exit 0]
htdleo	a_triangle_cover	hw	1	0.26	[exit 0]
htdleo	a_triangle_cover	ghw	1	0.28	[exit 0]
htdsmt	a_triangle_cover	hw	1	0.25	[exit 0]
frasmt	a_triangle_cover	fhw	1	0.29	[exit 0]
balancedgo	berge_triangle	hw_detk_exact	1	0.02	[exit 0]
balancedgo	berge_triangle	hw_detk_exact_pace	1	0.01	[exit 0]
logk	berge_triangle	hw_exact	1	0.01	[exit 0]
balancedgo	berge_triangle	ghw_global_k1	1	0.01	[exit 0]
ndk	berge_triangle	hw_detk_k1	yes	0.01	[exit 0]
ndk	berge_triangle	ghw_balsep_k1	yes	0.01	[exit 0]
ndk	berge_triangle	stats	?	0.01	[exit 0]
detk1	berge_triangle	hw_k3	yes	0.01	[exit 0]
htd	berge_triangle	tw	2	0.01	[exit 0]
htd	berge_triangle	ghw_ub	1	0.01	[exit 0]
htdleo	berge_triangle	hw	1	0.27	[exit 0]
htdleo	berge_triangle	ghw	1	0.29	[exit 0]
htdsmt	berge_triangle	hw	1	0.24	[exit 0]
frasmt	berge_triangle	fhw	1	0.29	[exit 0]
balancedgo	gamma_triangle	hw_detk_exact	1	0.01	[exit 0]
balancedgo	gamma_triangle	hw_detk_exact_pace	1	0.01	[exit 0]
logk	gamma_triangle	hw_exact	1	0.01	[exit 0]
balancedgo	gamma_triangle	ghw_global_k1	1	0.01	[exit 0]
ndk	gamma_triangle	hw_detk_k1	yes	0.01	[exit 0]
ndk	gamma_triangle	ghw_balsep_k1	yes	0.01	[exit 0]
ndk	gamma_triangle	stats	?	0.01	[exit 0]
detk1	gamma_triangle	hw_k3	yes	0.01	[exit 0]
htd	gamma_triangle	tw	2	0.01	[exit 0]
htd	gamma_triangle	ghw_ub	1	0.01	[exit 0]
