row_id,source,scope,counts_source,counts_date,naming,naming_version,slots,schema_id,schema_sha256,file,file_sha256,relations,roles,rank,max_degree,bip,duplicate_groups,universal_roles,components,class,first_failed,witness_kind,witness_size,core_roles,core_relations,hw_lower,hw_upper,hw_exact,hw_method,ghw_lower,ghw_upper,ghw_exact,ghw_method,fhw_lower,fhw_upper,fhw_exact,fhw_method,tw_lower,tw_upper,tw_exact,tw_method,validated,disagreements,tools,solver_attempts,solver_seconds,time_limit,wall_seconds
wd-declared-wd-roles-r1-cq,wikidata,,,,wd-roles-r1,wd-roles r1,"core,qualifier",p6-wikidata-declared-wd-roles-r1,sha256:560f92b55f3dd19ae5ab8d5f77528fb40ec5a0ebf515ffba1ec830757bfcac01,schemas/p6-wikidata-declared-wd-roles-r1.json.gz,14a0d0ffbfb697affcb9cb07ec057cca97a4f35b737903d039d8298b6f07339f,1155,1892,117,305,49,1,subject,1,cyclic,alpha,gyo_residue,391,578,391,4,38,False,inequality/hd-repair,4,25,False,clique/heuristic,35/11,24,False,clique/heuristic,116,235,False,rank/heuristic,True,0,balancedgo:872c662;logk:5e021dd,10,1200.102,600.0,2018.686
wd-declared-wd-roles-r1-cqt,wikidata,,,,wd-roles-r1,wd-roles r1,"core,qualifier,time",p6-wikidata-declared-wd-roles-r1,sha256:560f92b55f3dd19ae5ab8d5f77528fb40ec5a0ebf515ffba1ec830757bfcac01,schemas/p6-wikidata-declared-wd-roles-r1.json.gz,14a0d0ffbfb697affcb9cb07ec057cca97a4f35b737903d039d8298b6f07339f,1155,1893,119,409,51,1,subject,1,cyclic,alpha,gyo_residue,392,580,392,4,43,False,inequality/hd-repair,4,25,False,clique/heuristic,35/11,24,False,clique/heuristic,118,237,False,rank/heuristic,True,1,balancedgo:872c662;logk:5e021dd,11,1200.1,600.0,2029.094
wd-declared-relation-local-cq,wikidata,,,,relation-local,wd-roles r1,"core,qualifier",p6-wikidata-declared-relation-local,sha256:b96a1e4fef2589c7486499f79c45ddc0c5f17b5e8fc223aa322e30605f75cc5b,schemas/p6-wikidata-declared-relation-local.json.gz,43c72d9231ff726ee5cf289269ee840264f8025111754e8c9532503d043f7c8e,1155,9999,117,1,0,0,,1155,berge,,,,0,0,1,1,True,join-tree,1,1,True,join-tree,1,1,True,join-tree,116,116,True,dp,True,0,balancedgo:872c662;logk:5e021dd,0,0.0,600.0,5.755
wd-declared-relation-local-cqt,wikidata,,,,relation-local,wd-roles r1,"core,qualifier,time",p6-wikidata-declared-relation-local,sha256:b96a1e4fef2589c7486499f79c45ddc0c5f17b5e8fc223aa322e30605f75cc5b,schemas/p6-wikidata-declared-relation-local.json.gz,43c72d9231ff726ee5cf289269ee840264f8025111754e8c9532503d043f7c8e,1155,10815,119,1,0,0,,1155,berge,,,,0,0,1,1,True,join-tree,1,1,True,join-tree,1,1,True,join-tree,118,118,True,dp,True,0,balancedgo:872c662;logk:5e021dd,0,0.0,600.0,5.965
wd-observed-robust-wd-roles-r1-cq,wikidata,dump,SQID,2026-08-10 (SQID qs); 2026-09-23 (DeltaBot main statements),wd-roles-r1,wd-roles r1,"core,qualifier",p6-wikidata-observed-robust-wd-roles-r1,sha256:9a2c30b29867d76b32a789ef50e75bf2c50c2e8dd2e64dca3b8ee298e6e6d6e2,schemas/p6-wikidata-observed-robust-wd-roles-r1.json.gz,e12cf96b5c0339340455d7c107d2ae9f0c051ac644a97f0e5e52f403d298eb8e,13608,13677,34,622,19,1,subject,1,cyclic,alpha,gyo_residue,748,527,748,4,68,False,inequality/hd-repair,4,29,False,clique/heuristic,63/19,79/3,False,clique/heuristic,55,131,False,minor-min-width/heuristic,True,0,balancedgo:872c662;logk:5e021dd,10,1200.099,600.0,1725.614
wd-observed-robust-wd-roles-r1-cqt,wikidata,dump,SQID,2026-08-10 (SQID qs); 2026-09-23 (DeltaBot main statements),wd-roles-r1,wd-roles r1,"core,qualifier,time",p6-wikidata-observed-robust-wd-roles-r1,sha256:9a2c30b29867d76b32a789ef50e75bf2c50c2e8dd2e64dca3b8ee298e6e6d6e2,schemas/p6-wikidata-observed-robust-wd-roles-r1.json.gz,e12cf96b5c0339340455d7c107d2ae9f0c051ac644a97f0e5e52f403d298eb8e,13608,13677,36,807,21,1,subject,1,cyclic,alpha,gyo_residue,755,530,755,4,71,False,inequality/hd-repair,4,32,False,clique/heuristic,63/19,1015/36,False,clique/heuristic,56,134,False,minor-min-width/heuristic,True,0,balancedgo:872c662;logk:5e021dd,10,1200.095,600.0,1654.94
wd-observed-robust-relation-local-cq,wikidata,dump,SQID,2026-08-10 (SQID qs); 2026-09-23 (DeltaBot main statements),relation-local,wd-roles r1,"core,qualifier",p6-wikidata-observed-robust-relation-local,sha256:2237d834523f36ae0035dfa8763d1186cdaacbb2e222ea9b8f1878c479357a50,schemas/p6-wikidata-observed-robust-relation-local.json.gz,fac7f8e13ca521ee9a09c68ba7c977565944cc13db804995dd54c15fd87d66eb,13608,34472,34,1,0,0,,13608,berge,,,,0,0,1,1,True,join-tree,1,1,True,join-tree,1,1,True,join-tree,33,33,True,dp,True,0,balancedgo:872c662;logk:5e021dd,0,0.0,600.0,22.473
wd-observed-robust-relation-local-cqt,wikidata,dump,SQID,2026-08-10 (SQID qs); 2026-09-23 (DeltaBot main statements),relation-local,wd-roles r1,"core,qualifier,time",p6-wikidata-observed-robust-relation-local,sha256:2237d834523f36ae0035dfa8763d1186cdaacbb2e222ea9b8f1878c479357a50,schemas/p6-wikidata-observed-robust-relation-local.json.gz,fac7f8e13ca521ee9a09c68ba7c977565944cc13db804995dd54c15fd87d66eb,13608,36084,36,1,0,0,,13608,berge,,,,0,0,1,1,True,join-tree,1,1,True,join-tree,1,1,True,join-tree,35,35,True,dp,True,0,balancedgo:872c662;logk:5e021dd,0,0.0,600.0,22.05
wd-observed-all-wd-roles-r1-cq,wikidata,dump,SQID,2026-08-10 (SQID qs); 2026-09-23 (DeltaBot main statements),wd-roles-r1,wd-roles r1,"core,qualifier",p6-wikidata-observed-all-wd-roles-r1,sha256:41dd797633459c7b88ad898e1a90463d41964639e7c91b41fb2ddec3a85e95a4,schemas/p6-wikidata-observed-all-wd-roles-r1.json.gz,721925bfad44597c877edf502e6d7527fa45bd901b7a821fff2dd45af8a2fa86,13608,14158,761,1972,364,0,subject,1,cyclic,alpha,gyo_residue,1441,1984,1441,3,61,False,inequality/hd-repair,3,39,False,clique/heuristic,2,75/2,False,clique/heuristic,760,1248,False,rank/heuristic,True,0,balancedgo:872c662;logk:5e021dd,10,1200.016,600.0,2366.63
wd-observed-all-wd-roles-r1-cqt,wikidata,dump,SQID,2026-08-10 (SQID qs); 2026-09-23 (DeltaBot main statements),wd-roles-r1,wd-roles r1,"core,qualifier,time",p6-wikidata-observed-all-wd-roles-r1,sha256:41dd797633459c7b88ad898e1a90463d41964639e7c91b41fb2ddec3a85e95a4,schemas/p6-wikidata-observed-all-wd-roles-r1.json.gz,721925bfad44597c877edf502e6d7527fa45bd901b7a821fff2dd45af8a2fa86,13608,14158,763,2175,366,0,subject,1,cyclic,alpha,gyo_residue,1446,1987,1446,3,61,False,inequality/hd-repair,3,39,False,clique/heuristic,11/5,75/2,False,clique/heuristic,762,1195,False,rank/heuristic,True,0,balancedgo:872c662;logk:5e021dd,10,1200.101,600.0,2358.191
wd-observed-all-relation-local-cq,wikidata,dump,SQID,2026-08-10 (SQID qs); 2026-09-23 (DeltaBot main statements),relation-local,wd-roles r1,"core,qualifier",p6-wikidata-observed-all-relation-local,sha256:73f4585a8e09b7b0857bb6f3ed005cd5623ae6e3f1480f0e8369adc781b7e30c,schemas/p6-wikidata-observed-all-relation-local.json.gz,6c65d78cb735675265fbd493f8d70f0fc567150bff56012d6476f4734ba1eb7d,13608,83426,761,1,0,0,,13608,berge,,,,0,0,1,1,True,join-tree,1,1,True,join-tree,1,1,True,join-tree,760,760,True,dp,True,0,balancedgo:872c662;logk:5e021dd,0,0.0,600.0,52.077
